4485,PST,'PRECIPITATION
19790101,0000,5.37
19790201,0000,2.18
19790301,0000,5.09
19790401,0000,0.00
19790501,0000,0.00
19790601,0000,0.00
19790701,0000,0.07
19790801,0000,0.00
19790901,0000,0.00
19791001,0000,0.50
19791101,0000,1.14
19791201,0000,0.00
19800101,0000,7.95
19800201,0000,7.90
19800301,0000,3.85
19800401,0000,0.08
19800501,0000,0.30
19800601,0000,0.00
19800701,0000,0.00
19800801,0000,0.00
19800901,0000,0.00
19801001,0000,0.00
19801101,0000,0.00
19801201,0000,0.00
19810101,0000,m
19810201,0000,m
19810301,0000,m
19810401,0000,m
19810501,0000,m
19810601,0000,m
19810701,0000,m
19810801,0000,m
19810901,0000,m
19811001,0000,m
19811101,0000,m
19811201,0000,m
19820101,0000,m
19820201,0000,m
19820301,0000,m
19820401,0000,m
19820501,0000,m
19820601,0000,m
19820701,0000,m
19820801,0000,m
19820901,0000,m
19821001,0000,0.17
19821101,0000,3.40
19821201,0000,1.33
19830101,0000,3.91
19830201,0000,3.43
19830301,0000,m
19830401,0000,2.56
19830501,0000,0.32
19830601,0000,0.00
19830701,0000,0.00
19830801,0000,0.37
19830901,0000,0.61
19831001,0000,1.78
19831101,0000,3.28
19831201,0000,1.82
19840101,0000,0.34
19840201,0000,0.00
19840301,0000,0.12
19840401,0000,0.58
19840501,0000,0.00
19840601,0000,0.07
19840701,0000,0.00
19840801,0000,0.22
19840901,0000,0.09
19841001,0000,0.15
19841101,0000,1.93
19841201,0000,4.76
19850101,0000,0.87
19850201,0000,1.06
19850301,0000,0.75
19850401,0000,0.01
19850501,0000,0.00
19850601,0000,0.00
19850701,0000,0.00
19850801,0000,0.00
19850901,0000,0.58
19851001,0000,0.11
19851101,0000,3.87
19851201,0000,0.30
19860101,0000,1.36
19860201,0000,6.06
19860301,0000,3.39
19860401,0000,0.99
19860501,0000,0.00
19860601,0000,0.00
19860701,0000,0.11
19860801,0000,0.00
19860901,0000,1.65
19861001,0000,0.34
19861101,0000,0.69
19861201,0000,0.51
19870101,0000,1.91
19870201,0000,1.43
19870301,0000,0.75
19870401,0000,0.20
19870501,0000,0.00
19870601,0000,0.00
19870701,0000,0.00
19870801,0000,0.05
19870901,0000,0.00
19871001,0000,1.74
19871101,0000,0.98
19871201,0000,1.96
19880101,0000,1.96
19880201,0000,0.84
19880301,0000,0.19
19880401,0000,2.12
19880501,0000,0.00
19880601,0000,0.02
19880701,0000,0.00
19880801,0000,0.04
19880901,0000,0.20
19881001,0000,0.00
19881101,0000,1.07
19881201,0000,4.25
19890101,0000,0.35
19890201,0000,1.62
19890301,0000,0.81
19890401,0000,0.00
19890501,0000,0.00
19890601,0000,0.07
19890701,0000,0.00
19890801,0000,0.00
19890901,0000,0.46
19891001,0000,0.44
19891101,0000,0.41
19891201,0000,0.03
19900101,0000,2.84
19900201,0000,3.00
19900301,0000,0.34
19900401,0000,0.49
19900501,0000,0.52
19900601,0000,0.05
19900701,0000,0.00
19900801,0000,0.00
19900901,0000,0.00
19901001,0000,0.00
19901101,0000,0.33
19901201,0000,0.12
19910101,0000,1.36
19910201,0000,3.32
19910301,0000,6.45
19910401,0000,0.00
19910501,0000,0.00
19910601,0000,0.00
19910701,0000,0.07
19910801,0000,0.00
19910901,0000,0.06
19911001,0000,0.38
19911101,0000,0.00
19911201,0000,1.60
19920101,0000,1.63
19920201,0000,6.04
19920301,0000,5.48
19920401,0000,0.14
19920501,0000,0.00
19920601,0000,0.00
19920701,0000,0.20
19920801,0000,0.00
19920901,0000,0.00
19921001,0000,0.72
19921101,0000,0.00
19921201,0000,3.65
19930101,0000,11.78
19930201,0000,4.12
19930301,0000,1.66
19930401,0000,0.00
19930501,0000,0.00
19930601,0000,1.31
19930701,0000,0.00
19930801,0000,0.00
19930901,0000,0.00
19931001,0000,0.11
19931101,0000,0.17
19931201,0000,0.88
19940101,0000,1.70
19940201,0000,6.44
19940301,0000,1.10
19940401,0000,0.58
19940501,0000,0.16
19940601,0000,0.00
19940701,0000,0.00
19940801,0000,0.00
19940901,0000,0.00
19941001,0000,0.22
19941101,0000,0.91
19941201,0000,0.87
19950101,0000,13.20
19950201,0000,1.36
19950301,0000,6.96
19950401,0000,1.04
19950501,0000,0.52
19950601,0000,0.53
19950701,0000,0.00
19950801,0000,0.00
19950901,0000,0.00
19951001,0000,0.00
19951101,0000,0.00
19951201,0000,1.47
19960101,0000,2.13
19960201,0000,4.10
19960301,0000,2.85
19960401,0000,0.63
19960501,0000,0.00
19960601,0000,0.00
19960701,0000,0.00
19960801,0000,0.00
19960901,0000,0.00
19961001,0000,0.98
19961101,0000,3.19
19961201,0000,5.43
19970101,0000,5.20
19970201,0000,0.11
19970301,0000,0.00
19970401,0000,0.00
19970501,0000,0.01
19970601,0000,0.00
19970701,0000,0.00
19970801,0000,0.00
19970901,0000,1.20
19971001,0000,0.01
19971101,0000,1.70
19971201,0000,5.35
19980101,0000,2.19
19980201,0000,14.07
19980301,0000,2.95
19980401,0000,0.94
19980501,0000,2.48
19980601,0000,0.07
19980701,0000,0.00
19980801,0000,0.00
19980901,0000,0.05
19981001,0000,0.06
19981101,0000,1.51
19981201,0000,1.17
19990101,0000,1.76
19990201,0000,0.32
19990301,0000,1.02
19990401,0000,1.92
19990501,0000,0.00
19990601,0000,0.12
19990701,0000,0.13
19990801,0000,0.00
19990901,0000,0.00
19991001,0000,0.00
19991101,0000,0.08
19991201,0000,0.06
20000101,0000,0.65
20000201,0000,4.65
20000301,0000,1.70
20000401,0000,0.82
20000501,0000,0.03
20000601,0000,0.00
20000701,0000,0.00
20000801,0000,0.01
20000901,0000,0.06
20001001,0000,1.36
20001101,0000,0.00
20001201,0000,0.00
20010101,0000,4.50
20010201,0000,7.33
20010301,0000,0.65
20010401,0000,0.20
20010501,0000,0.05
20010601,0000,0.00
20010701,0000,0.00
20010801,0000,0.00
20010901,0000,0.00
20011001,0000,0.00
20011101,0000,0.63
20011201,0000,1.19
20020101,0000,0.67
20020201,0000,0.23
20020301,0000,0.50
20020401,0000,0.23
20020501,0000,0.01
20020601,0000,0.00
20020701,0000,0.00
20020801,0000,0.00
20020901,0000,0.00
20021001,0000,0.10
20021101,0000,1.80
20021201,0000,2.49
20030101,0000,0.11
20030201,0000,3.99
20030301,0000,3.21
20030401,0000,1.82
20030501,0000,0.82
20030601,0000,0.00
20030701,0000,0.26
20030801,0000,0.00
20030901,0000,0.00
20031001,0000,0.02
20031101,0000,0.66
20031201,0000,0.75
20040101,0000,0.39
20040201,0000,4.23
20040301,0000,0.52
20040401,0000,0.56
20040501,0000,0.00
20040601,0000,0.00
20040701,0000,0.00
20040801,0000,0.00
20040901,0000,0.00
20041001,0000,6.97
20041101,0000,0.49
20041201,0000,3.46
20050101,0000,6.98
20050201,0000,8.41
20050301,0000,0.59
20050401,0000,1.30
20050501,0000,0.26
20050601,0000,0.00
20050701,0000,0.00
20050801,0000,0.00
20050901,0000,0.35
20051001,0000,0.18
20051101,0000,0.30
20051201,0000,0.58
20060101,0000,0.64
20060201,0000,1.68
20060301,0000,2.13
20060401,0000,2.88
20060501,0000,0.70
20060601,0000,0.02
20060701,0000,0.00
20060801,0000,0.00
20060901,0000,0.00
20061001,0000,0.02
20061101,0000,0.11
20061201,0000,0.67
20070101,0000,0.03
20070201,0000,0.98
20070301,0000,0.10
20070401,0000,0.34
20070501,0000,0.00
20070601,0000,0.00
20070701,0000,0.00
20070801,0000,0.00
20070901,0000,0.52
20071001,0000,0.40
20071101,0000,1.19
20071201,0000,1.02
20080101,0000,3.76
20080201,0000,1.95
20080301,0000,0.06
20080401,0000,0.02
20080501,0000,0.17
20080601,0000,0.00
20080701,0000,0.00
20080801,0000,0.00
20080901,0000,0.00
20081001,0000,0.00
20081101,0000,1.79
20081201,0000,3.69
20090101,0000,0.75
20090201,0000,3.27
20090301,0000,0.04
20090401,0000,0.17
20090501,0000,0.00
20090601,0000,0.10
20090701,0000,0.00
20090801,0000,0.00
20090901,0000,0.00
20091001,0000,0.62
20091101,0000,0.00
20091201,0000,3.39
20100101,0000,4.86
20100201,0000,4.21
20100301,0000,0.26
20100401,0000,1.22
20100501,0000,0.05
20100601,0000,0.00
20100701,0000,0.02
20100801,0000,0.00
20100901,0000,0.00
20101001,0000,2.66
20101101,0000,1.36
20101201,0000,10.10
20110101,0000,1.02
20110201,0000,1.91
20110301,0000,1.81
20110401,0000,0.00
20110501,0000,0.45
20110601,0000,0.03
20110701,0000,0.00
20110801,0000,0.00
20110901,0000,0.06
20111001,0000,0.85
20111101,0000,1.67
20111201,0000,0.63
20120101,0000,1.30
20120201,0000,0.78
20120301,0000,1.51
20120401,0000,3.09
20120501,0000,0.00
20120601,0000,0.00
20120701,0000,0.12
20120801,0000,0.00
20120901,0000,0.00
20121001,0000,0.32
20121101,0000,0.54
20121201,0000,1.62
20130101,0000,0.84
20130201,0000,0.32
20130301,0000,0.37
20130401,0000,0.03
20130501,0000,0.54
20130601,0000,0.00
20130701,0000,0.06
20130801,0000,0.00
20130901,0000,0.00
20131001,0000,0.22
20131101,0000,0.46
20131201,0000,0.37
20140101,0000,0.00
20140201,0000,1.42
20140301,0000,0.67
20140401,0000,0.37
20140501,0000,0.00
20140601,0000,0.00
20140701,0000,0.00
20140801,0000,0.03
20140901,0000,0.00
20141001,0000,0.00
20141101,0000,0.42
20141201,0000,3.41
20150101,0000,0.88
20150201,0000,0.41
20150301,0000,0.12
20150401,0000,0.16
20150501,0000,m
20150601,0000,m
20150701,0000,m
20150801,0000,m
20150901,0000,m
20151001,0000,0.06
20151101,0000,0.04
20151201,0000,0.85
20160101,0000,2.26
20160201,0000,0.25
20160301,0000,0.97
20160401,0000,0.15
20160501,0000,0.58
20160601,0000,0.03
20160701,0000,0.00
20160801,0000,0.00
20160901,0000,0.02
20161001,0000,0.66
20161101,0000,1.22
20161201,0000,4.39
20170101,0000,7.34
20170201,0000,3.20
20170301,0000,0.05
20170401,0000,0.08
20170501,0000,0.09
20170601,0000,0.00
20170701,0000,0.00
20170801,0000,0.00
20170901,0000,0.07
20171001,0000,0.00
20171101,0000,0.04
20171201,0000,0.00
20180101,0000,1.08
