5167,PST,'PRECIPITATION
19821101,0000,3.22
19821201,0000,1.12
19830101,0000,2.49
19830201,0000,4.28
19830301,0000,0
19830401,0000,3.52
19830501,0000,0.22
19830601,0000,0.00
19830701,0000,0.00
19830801,0000,0.49
19830901,0000,1.10
19831001,0000,1.01
19831101,0000,2.91
19831201,0000,2.39
19840101,0000,0.11
19840201,0000,0.00
19840301,0000,0.23
19840401,0000,0.04
19840501,0000,0.00
19840601,0000,0.23
19840701,0000,0.06
19840801,0000,0.13
19840901,0000,0.44
19841001,0000,0.49
19841101,0000,2.42
19841201,0000,4.14
19850101,0000,1.13
19850201,0000,1.25
19850301,0000,0.62
19850401,0000,0.00
19850501,0000,0.06
19850601,0000,0.00
19850701,0000,0.00
19850801,0000,0.00
19850901,0000,0.13
19851001,0000,0.25
19851101,0000,3.87
19851201,0000,0.48
19860101,0000,1.12
19860201,0000,2.31
19860301,0000,3.38
19860401,0000,1.20
19860501,0000,0.00
19860601,0000,0.00
19860701,0000,0.07
19860801,0000,0.00
19860901,0000,1.14
19861001,0000,0.31
19861101,0000,0.64
19861201,0000,0.98
19870101,0000,2.50
19870201,0000,2.19
19870301,0000,1.30
19870401,0000,0.23
19870501,0000,0.24
19870601,0000,0.01
19870701,0000,0.28
19870801,0000,0.16
19870901,0000,0.00
19871001,0000,1.79
19871101,0000,0.73
19871201,0000,2.41
19880101,0000,1.40
19880201,0000,1.02
19880301,0000,0.27
19880401,0000,2.40
19880501,0000,0.02
19880601,0000,0.00
19880701,0000,0.00
19880801,0000,0.00
19880901,0000,0.00
19881001,0000,0.00
19881101,0000,0.97
19881201,0000,3.37
19890101,0000,0.45
19890201,0000,1.00
19890301,0000,1.00
19890401,0000,0.12
19890501,0000,0.02
19890601,0000,0.03
19890701,0000,0.00
19890801,0000,0.00
19890901,0000,0.51
19891001,0000,0
19891101,0000,0
19891201,0000,0
19900101,0000,0
19900201,0000,0
19900301,0000,0.18
19900401,0000,1.08
19900501,0000,1.45
19900601,0000,0.05
19900701,0000,0.00
19900801,0000,0.00
19900901,0000,0.00
19901001,0000,0.00
19901101,0000,0.85
19901201,0000,0.18
19910101,0000,0.94
19910201,0000,3.40
19910301,0000,5.39
19910401,0000,0.06
19910501,0000,0.00
19910601,0000,0.00
19910701,0000,0.01
19910801,0000,0.00
19910901,0000,0.00
19911001,0000,0.04
19911101,0000,0.00
19911201,0000,1.94
19920101,0000,1.52
19920201,0000,6.34
19920301,0000,5.86
19920401,0000,0.20
19920501,0000,0.00
19920601,0000,0.00
19920701,0000,0.58
19920801,0000,0.00
19920901,0000,0.00
19921001,0000,0.79
19921101,0000,0.06
19921201,0000,4.95
19930101,0000,8.64
19930201,0000,5.65
19930301,0000,1.90
19930401,0000,0.00
19930501,0000,0.00
19930601,0000,0.88
19930701,0000,0.01
19930801,0000,0.00
19930901,0000,0.00
19931001,0000,0.16
19931101,0000,1.13
19931201,0000,0.81
19940101,0000,0.88
19940201,0000,3.42
19940301,0000,2.42
19940401,0000,0.65
19940501,0000,0.35
19940601,0000,0.00
19940701,0000,0.00
19940801,0000,0.00
19940901,0000,0.00
19941001,0000,0.35
19941101,0000,0.45
19941201,0000,1.33
19950101,0000,8.20
19950201,0000,2.20
19950301,0000,4.57
19950401,0000,1.30
19950501,0000,0.00
19950601,0000,0.00
19950701,0000,0.00
19950801,0000,0.00
19950901,0000,0.00
19951001,0000,0.00
19951101,0000,0.09
19951201,0000,1.05
19960101,0000,2.44
19960201,0000,5.01
19960301,0000,1.42
19960401,0000,0.22
19960501,0000,0.00
19960601,0000,0.00
19960701,0000,0.25
19960801,0000,0.00
19960901,0000,0.00
19961001,0000,1.60
19961101,0000,3.20
19961201,0000,5.15
19970101,0000,5.57
19970201,0000,0.27
19970301,0000,0.00
19970401,0000,0.00
19970501,0000,0.00
19970601,0000,0.00
19970701,0000,0.00
19970801,0000,0.00
19970901,0000,0.55
19971001,0000,0.00
19971101,0000,2.97
19971201,0000,7.60
19980101,0000,2.83
19980201,0000,14.12
19980301,0000,3.64
19980401,0000,2.02
19980501,0000,1.17
19980601,0000,0.26
19980701,0000,0.00
19980801,0000,0.00
19980901,0000,0.50
19981001,0000,0.04
19981101,0000,1.57
19981201,0000,0.84
19990101,0000,2.23
19990201,0000,1.77
19990301,0000,1.40
19990401,0000,1.33
19990501,0000,0.00
19990601,0000,0.30
19990701,0000,0.01
19990801,0000,0.00
19990901,0000,0.00
19991001,0000,0.00
19991101,0000,0.12
19991201,0000,0.04
20000101,0000,0.65
20000201,0000,4.23
20000301,0000,0.64
20000401,0000,1.30
20000501,0000,0.10
20000601,0000,0.00
20000701,0000,0.00
20000801,0000,0.00
20000901,0000,0.19
20001001,0000,2.19
20001101,0000,0.12
20001201,0000,0.00
20010101,0000,4.41
20010201,0000,6.84
20010301,0000,0.43
20010401,0000,1.56
20010501,0000,0.15
20010601,0000,0.20
20010701,0000,0.00
20010801,0000,0.00
20010901,0000,0.00
20011001,0000,0.00
20011101,0000,1.61
20011201,0000,1.35
20020101,0000,0.30
20020201,0000,0.30
20020301,0000,1.07
20020401,0000,0.15
20020501,0000,0.10
20020601,0000,0.05
20020701,0000,0.00
20020801,0000,0.05
20020901,0000,0.00
20021001,0000,0.00
20021101,0000,1.54
20021201,0000,2.84
20030101,0000,0.00
20030201,0000,6.00
20030301,0000,4.04
20030401,0000,1.97
20030501,0000,1.11
20030601,0000,0.18
20030701,0000,0.16
20030801,0000,0.00
20030901,0000,0.00
20031001,0000,0.00
20031101,0000,0.26
20031201,0000,0.20
20040101,0000,0.04
20040201,0000,0.45
20040301,0000,1.03
20040401,0000,0.13
20040501,0000,1.58
20040601,0000,0.44
20040701,0000,0.63
20040801,0000,1.10
20040901,0000,0.00
20041001,0000,5.67
20041101,0000,0.71
20041201,0000,4.18
20050101,0000,6.92
20050201,0000,7.86
20050301,0000,0.92
20050401,0000,1.60
20050501,0000,0.17
20050601,0000,0.17
20050701,0000,0.00
20050801,0000,0.00
20050901,0000,0.20
20051001,0000,0.32
20051101,0000,0.25
20051201,0000,0.55
20060101,0000,1.00
20060201,0000,1.10
20060301,0000,2.79
20060401,0000,1.77
20060501,0000,0.50
20060601,0000,0.00
20060701,0000,0.00
20060801,0000,0.00
20060901,0000,0.00
20061001,0000,0.00
20061101,0000,0.17
20061201,0000,1.07
20070101,0000,0.79
20070201,0000,1.17
20070301,0000,0.24
20070401,0000,0.60
20070501,0000,0.00
20070601,0000,0.00
20070701,0000,0.00
20070801,0000,0.00
20070901,0000,1.04
20071001,0000,0.21
20071101,0000,1.68
20071201,0000,0.60
20080101,0000,1.13
20080201,0000,2.52
20080301,0000,0.02
20080401,0000,0.13
20080501,0000,0.22
20080601,0000,0.00
20080701,0000,0.00
20080801,0000,0.00
20080901,0000,0.00
20081001,0000,0.00
20081101,0000,1.93
20081201,0000,0.31
20090101,0000,0.06
20090201,0000,3.18
20090301,0000,0.07
20090401,0000,0.05
20090501,0000,0.07
20090601,0000,0.09
20090701,0000,0.00
20090801,0000,0.00
20090901,0000,0.00
20091001,0000,0.36
20091101,0000,0.01
20091201,0000,0.40
20100101,0000,0.89
20100201,0000,2.84
20100301,0000,0.15
20100401,0000,0.99
20100501,0000,0.03
20100601,0000,0.04
20100701,0000,0.16
20100801,0000,0.01
20100901,0000,0.00
20101001,0000,3.07
20101101,0000,0.63
20101201,0000,11.05
20110101,0000,0.72
20110201,0000,1.37
20110301,0000,2.12
20110401,0000,0.24
20110501,0000,0.36
20110601,0000,0.04
20110701,0000,0.00
20110801,0000,0
20110901,0000,0.03
20111001,0000,0.23
20111101,0000,0.87
20111201,0000,0.28
20120101,0000,0.78
20120201,0000,1.04
20120301,0000,0.75
20120401,0000,1.34
20120501,0000,0.15
20120601,0000,0.00
20120701,0000,0.53
20120801,0000,0.00
20120901,0000,0.03
20121001,0000,0.61
20121101,0000,0.64
20121201,0000,2.03
20130101,0000,1.28
20130201,0000,0.34
20130301,0000,0.69
20130401,0000,0.02
20130501,0000,0.30
20130601,0000,0.07
20130701,0000,0.06
20130801,0000,0.00
20130901,0000,0.01
20131001,0000,1.91
20131101,0000,0.48
20131201,0000,0.29
20140101,0000,0.00
20140201,0000,0.76
20140301,0000,1.11
20140401,0000,0.53
20140501,0000,0.00
20140601,0000,0.00
20140701,0000,0.00
20140801,0000,0.02
20140901,0000,0.00
20141001,0000,0.45
20141101,0000,0.76
20141201,0000,1.42
20150101,0000,0.76
20150201,0000,0.59
20150301,0000,0
20150401,0000,0
20150501,0000,0
20150601,0000,0
20150701,0000,0
20150801,0000,0
20150901,0000,0
20151001,0000,0.32
20151101,0000,0.60
20151201,0000,0.65
20160101,0000,1.77
20160201,0000,0.42
20160301,0000,0
20160401,0000,0
20160501,0000,0
20160601,0000,0
20160701,0000,0
20160801,0000,0
20160901,0000,0
20161001,0000,0.35
20161101,0000,0.49
20161201,0000,17.58
20170101,0000,5.01
20170201,0000,1.87
20170301,0000,0.06
20170401,0000,0.00
20170501,0000,0.00
20170601,0000,0.01
20170701,0000,0.00
20170801,0000,0.00
20170901,0000,0
20171001,0000,0
20171101,0000,0
20171201,0000,0
20180101,0000,0
