Year,Month,Day,temperature,rain
1979,05,01,0000,0.00
1979,06,01,0000,0.00
1979,07,01,0000,0.00
1979,08,01,0000,0.00
1979,09,01,0000,0.00
1979,10,01,0000,0.00
1979,11,01,0000,1.05
1979,12,01,0000,0.27
1980,01,01,0000,7.61
1980,02,01,0000,9.64
1980,03,01,0000,2.68
1980,04,01,0000,0.64
1980,05,01,0000,0.20
1980,06,01,0000,0.00
1980,07,01,0000,0.00
1980,08,01,0000,0.00
1980,09,01,0000,0.00
1980,10,01,0000,0.00
1980,11,01,0000,0.00
1980,12,01,0000,0.00
1981,01,01,0000,0
1981,02,01,0000,0
1981,03,01,0000,0
1981,04,01,0000,0
1981,05,01,0000,0
1981,06,01,0000,0
1981,07,01,0000,0
1981,08,01,0000,0
1981,09,01,0000,0
1981,10,01,0000,0
1981,11,01,0000,0
1981,12,01,0000,0
1982,01,01,0000,0
1982,02,01,0000,0
1982,03,01,0000,0
1982,04,01,0000,0
1982,05,01,0000,0
1982,06,01,0000,0
1982,07,01,0000,0
1982,08,01,0000,0
1982,09,01,0000,0
1982,10,01,0000,0.11
1982,11,01,0000,3.22
1982,12,01,0000,1.12
1983,01,01,0000,2.49
1983,02,01,0000,4.28
1983,03,01,0000,0
1983,04,01,0000,3.52
1983,05,01,0000,0.22
1983,06,01,0000,0.00
1983,07,01,0000,0.00
1983,08,01,0000,0.49
1983,09,01,0000,1.10
1983,10,01,0000,1.01
1983,11,01,0000,2.91
1983,12,01,0000,2.39
1984,01,01,0000,0.11
1984,02,01,0000,0.00
1984,03,01,0000,0.23
1984,04,01,0000,0.04
1984,05,01,0000,0.00
1984,06,01,0000,0.23
1984,07,01,0000,0.06
1984,08,01,0000,0.13
1984,09,01,0000,0.44
1984,10,01,0000,0.49
1984,11,01,0000,2.42
1984,12,01,0000,4.14
1985,01,01,0000,1.13
1985,02,01,0000,1.25
1985,03,01,0000,0.62
1985,04,01,0000,0.00
1985,05,01,0000,0.06
1985,06,01,0000,0.00
1985,07,01,0000,0.00
1985,08,01,0000,0.00
1985,09,01,0000,0.13
1985,10,01,0000,0.25
1985,11,01,0000,3.87
1985,12,01,0000,0.48
1986,01,01,0000,1.12
1986,02,01,0000,2.31
1986,03,01,0000,3.38
1986,04,01,0000,1.20
1986,05,01,0000,0.00
1986,06,01,0000,0.00
1986,07,01,0000,0.07
1986,08,01,0000,0.00
1986,09,01,0000,1.14
1986,10,01,0000,0.31
1986,11,01,0000,0.64
1986,12,01,0000,0.98
1987,01,01,0000,2.50
1987,02,01,0000,2.19
1987,03,01,0000,1.30
1987,04,01,0000,0.23
1987,05,01,0000,0.24
1987,06,01,0000,0.01
1987,07,01,0000,0.28
1987,08,01,0000,0.16
1987,09,01,0000,0.00
1987,10,01,0000,1.79
1987,11,01,0000,0.73
1987,12,01,0000,2.41
1988,01,01,0000,1.40
1988,02,01,0000,1.02
1988,03,01,0000,0.27
1988,04,01,0000,2.40
1988,05,01,0000,0.02
1988,06,01,0000,0.00
1988,07,01,0000,0.00
1988,08,01,0000,0.00
1988,09,01,0000,0.00
1988,10,01,0000,0.00
1988,11,01,0000,0.97
1988,12,01,0000,3.37
1989,01,01,0000,0.45
1989,02,01,0000,1.00
1989,03,01,0000,1.00
1989,04,01,0000,0.12
1989,05,01,0000,0.02
1989,06,01,0000,0.03
1989,07,01,0000,0.00
1989,08,01,0000,0.00
1989,09,01,0000,0.51
1989,10,01,0000,0
1989,11,01,0000,0
1989,12,01,0000,0
1990,01,01,0000,0
1990,02,01,0000,0
1990,03,01,0000,0.18
1990,04,01,0000,1.08
1990,05,01,0000,1.45
1990,06,01,0000,0.05
1990,07,01,0000,0.00
1990,08,01,0000,0.00
1990,09,01,0000,0.00
1990,10,01,0000,0.00
1990,11,01,0000,0.85
1990,12,01,0000,0.18
1991,01,01,0000,0.94
1991,02,01,0000,3.40
1991,03,01,0000,5.39
1991,04,01,0000,0.06
1991,05,01,0000,0.00
1991,06,01,0000,0.00
1991,07,01,0000,0.01
1991,08,01,0000,0.00
1991,09,01,0000,0.00
1991,10,01,0000,0.04
1991,11,01,0000,0.00
1991,12,01,0000,1.94
1992,01,01,0000,1.52
1992,02,01,0000,6.34
1992,03,01,0000,5.86
1992,04,01,0000,0.20
1992,05,01,0000,0.00
1992,06,01,0000,0.00
1992,07,01,0000,0.58
1992,08,01,0000,0.00
1992,09,01,0000,0.00
1992,10,01,0000,0.79
1992,11,01,0000,0.06
1992,12,01,0000,4.95
1993,01,01,0000,8.64
1993,02,01,0000,5.65
1993,03,01,0000,1.90
1993,04,01,0000,0.00
1993,05,01,0000,0.00
1993,06,01,0000,0.88
1993,07,01,0000,0.01
1993,08,01,0000,0.00
1993,09,01,0000,0.00
1993,10,01,0000,0.16
1993,11,01,0000,1.13
1993,12,01,0000,0.81
1994,01,01,0000,0.88
1994,02,01,0000,3.42
1994,03,01,0000,2.42
1994,04,01,0000,0.65
1994,05,01,0000,0.35
1994,06,01,0000,0.00
1994,07,01,0000,0.00
1994,08,01,0000,0.00
1994,09,01,0000,0.00
1994,10,01,0000,0.35
1994,11,01,0000,0.45
1994,12,01,0000,1.33
1995,01,01,0000,8.20
1995,02,01,0000,2.20
1995,03,01,0000,4.57
1995,04,01,0000,1.30
1995,05,01,0000,0.00
1995,06,01,0000,0.00
1995,07,01,0000,0.00
1995,08,01,0000,0.00
1995,09,01,0000,0.00
1995,10,01,0000,0.00
1995,11,01,0000,0.09
1995,12,01,0000,1.05
1996,01,01,0000,2.44
1996,02,01,0000,5.01
1996,03,01,0000,1.42
1996,04,01,0000,0.22
1996,05,01,0000,0.00
1996,06,01,0000,0.00
1996,07,01,0000,0.25
1996,08,01,0000,0.00
1996,09,01,0000,0.00
1996,10,01,0000,1.60
1996,11,01,0000,3.20
1996,12,01,0000,5.15
1997,01,01,0000,5.57
1997,02,01,0000,0.27
1997,03,01,0000,0.00
1997,04,01,0000,0.00
1997,05,01,0000,0.00
1997,06,01,0000,0.00
1997,07,01,0000,0.00
1997,08,01,0000,0.00
1997,09,01,0000,0.55
1997,10,01,0000,0.00
1997,11,01,0000,2.97
1997,12,01,0000,7.60
1998,01,01,0000,2.83
1998,02,01,0000,14.12
1998,03,01,0000,3.64
1998,04,01,0000,2.02
1998,05,01,0000,1.17
1998,06,01,0000,0.26
1998,07,01,0000,0.00
1998,08,01,0000,0.00
1998,09,01,0000,0.50
1998,10,01,0000,0.04
1998,11,01,0000,1.57
1998,12,01,0000,0.84
1999,01,01,0000,2.23
1999,02,01,0000,1.77
1999,03,01,0000,1.40
1999,04,01,0000,1.33
1999,05,01,0000,0.00
1999,06,01,0000,0.30
1999,07,01,0000,0.01
1999,08,01,0000,0.00
1999,09,01,0000,0.00
1999,10,01,0000,0.00
1999,11,01,0000,0.12
1999,12,01,0000,0.04
2000,01,01,0000,0.65
2000,02,01,0000,4.23
2000,03,01,0000,0.64
2000,04,01,0000,1.30
2000,05,01,0000,0.10
2000,06,01,0000,0.00
2000,07,01,0000,0.00
2000,08,01,0000,0.00
2000,09,01,0000,0.19
2000,10,01,0000,2.19
2000,11,01,0000,0.12
2000,12,01,0000,0.00
2001,01,01,0000,4.41
2001,02,01,0000,6.84
2001,03,01,0000,0.43
2001,04,01,0000,1.56
2001,05,01,0000,0.15
2001,06,01,0000,0.20
2001,07,01,0000,0.00
2001,08,01,0000,0.00
2001,09,01,0000,0.00
2001,10,01,0000,0.00
2001,11,01,0000,1.61
2001,12,01,0000,1.35
2002,01,01,0000,0.30
2002,02,01,0000,0.30
2002,03,01,0000,1.07
2002,04,01,0000,0.15
2002,05,01,0000,0.10
2002,06,01,0000,0.05
2002,07,01,0000,0.00
2002,08,01,0000,0.05
2002,09,01,0000,0.00
2002,10,01,0000,0.00
2002,11,01,0000,1.54
2002,12,01,0000,2.84
2003,01,01,0000,0.00
2003,02,01,0000,6.00
2003,03,01,0000,4.04
2003,04,01,0000,1.97
2003,05,01,0000,1.11
2003,06,01,0000,0.18
2003,07,01,0000,0.16
2003,08,01,0000,0.00
2003,09,01,0000,0.00
2003,10,01,0000,0.00
2003,11,01,0000,0.26
2003,12,01,0000,0.20
2004,01,01,0000,0.04
2004,02,01,0000,0.45
2004,03,01,0000,1.03
2004,04,01,0000,0.13
2004,05,01,0000,1.58
2004,06,01,0000,0.44
2004,07,01,0000,0.63
2004,08,01,0000,1.10
2004,09,01,0000,0.00
2004,10,01,0000,5.67
2004,11,01,0000,0.71
2004,12,01,0000,4.18
2005,01,01,0000,6.92
2005,02,01,0000,7.86
2005,03,01,0000,0.92
2005,04,01,0000,1.60
2005,05,01,0000,0.17
2005,06,01,0000,0.17
2005,07,01,0000,0.00
2005,08,01,0000,0.00
2005,09,01,0000,0.20
2005,10,01,0000,0.32
2005,11,01,0000,0.25
2005,12,01,0000,0.55
2006,01,01,0000,1.00
2006,02,01,0000,1.10
2006,03,01,0000,2.79
2006,04,01,0000,1.77
2006,05,01,0000,0.50
2006,06,01,0000,0.00
2006,07,01,0000,0.00
2006,08,01,0000,0.00
2006,09,01,0000,0.00
2006,10,01,0000,0.00
2006,11,01,0000,0.17
2006,12,01,0000,1.07
2007,01,01,0000,0.79
2007,02,01,0000,1.17
2007,03,01,0000,0.24
2007,04,01,0000,0.60
2007,05,01,0000,0.00
2007,06,01,0000,0.00
2007,07,01,0000,0.00
2007,08,01,0000,0.00
2007,09,01,0000,1.04
2007,10,01,0000,0.21
2007,11,01,0000,1.68
2007,12,01,0000,0.60
2008,01,01,0000,1.13
2008,02,01,0000,2.52
2008,03,01,0000,0.02
2008,04,01,0000,0.13
2008,05,01,0000,0.22
2008,06,01,0000,0.00
2008,07,01,0000,0.00
2008,08,01,0000,0.00
2008,09,01,0000,0.00
2008,10,01,0000,0.00
2008,11,01,0000,1.93
2008,12,01,0000,0.31
2009,01,01,0000,0.06
2009,02,01,0000,3.18
2009,03,01,0000,0.07
2009,04,01,0000,0.05
2009,05,01,0000,0.07
2009,06,01,0000,0.09
2009,07,01,0000,0.00
2009,08,01,0000,0.00
2009,09,01,0000,0.00
2009,10,01,0000,0.36
2009,11,01,0000,0.01
2009,12,01,0000,0.40
2010,01,01,0000,0.89
2010,02,01,0000,2.84
2010,03,01,0000,0.15
2010,04,01,0000,0.99
2010,05,01,0000,0.03
2010,06,01,0000,0.04
2010,07,01,0000,0.16
2010,08,01,0000,0.01
2010,09,01,0000,0.00
2010,10,01,0000,3.07
2010,11,01,0000,0.63
2010,12,01,0000,11.05
2011,01,01,0000,0.72
2011,02,01,0000,1.37
2011,03,01,0000,2.12
2011,04,01,0000,0.24
2011,05,01,0000,0.36
2011,06,01,0000,0.04
2011,07,01,0000,0.00
2011,08,01,0000,0
2011,09,01,0000,0.03
2011,10,01,0000,0.23
2011,11,01,0000,0.87
2011,12,01,0000,0.28
2012,01,01,0000,0.78
2012,02,01,0000,1.04
2012,03,01,0000,0.75
2012,04,01,0000,1.34
2012,05,01,0000,0.15
2012,06,01,0000,0.00
2012,07,01,0000,0.53
2012,08,01,0000,0.00
2012,09,01,0000,0.03
2012,10,01,0000,0.61
2012,11,01,0000,0.64
2012,12,01,0000,2.03
2013,01,01,0000,1.28
2013,02,01,0000,0.34
2013,03,01,0000,0.69
2013,04,01,0000,0.02
2013,05,01,0000,0.30
2013,06,01,0000,0.07
2013,07,01,0000,0.06
2013,08,01,0000,0.00
2013,09,01,0000,0.01
2013,10,01,0000,1.91
2013,11,01,0000,0.48
2013,12,01,0000,0.29
2014,01,01,0000,0.00
2014,02,01,0000,0.76
2014,03,01,0000,1.11
2014,04,01,0000,0.53
2014,05,01,0000,0.00
2014,06,01,0000,0.00
2014,07,01,0000,0.00
2014,08,01,0000,0.02
2014,09,01,0000,0.00
2014,10,01,0000,0.45
2014,11,01,0000,0.76
2014,12,01,0000,1.42
2015,01,01,0000,0.76
2015,02,01,0000,0.59
2015,03,01,0000,0
2015,04,01,0000,0
2015,05,01,0000,0
2015,06,01,0000,0
2015,07,01,0000,0
2015,08,01,0000,0
2015,09,01,0000,0
2015,10,01,0000,0.32
2015,11,01,0000,0.60
2015,12,01,0000,0.65
2016,01,01,0000,1.77
2016,02,01,0000,0.42
2016,03,01,0000,0
2016,04,01,0000,0
2016,05,01,0000,0
2016,06,01,0000,0
2016,07,01,0000,0
2016,08,01,0000,0
2016,09,01,0000,0
2016,10,01,0000,0.35
2016,11,01,0000,0.49
2016,12,01,0000,17.58
2017,01,01,0000,5.01
2017,02,01,0000,1.87
2017,03,01,0000,0.06
2017,04,01,0000,0.00
2017,05,01,0000,0.00
2017,06,01,0000,0.01
2017,07,01,0000,0.00
2017,08,01,0000,0.00
2017,09,01,0000,0
2017,10,01,0000,0
2017,11,01,0000,0
2017,12,01,0000,0
2018,01,01,0000,0
