A,Year,Month,Day,'TEMPERATURE_x, AIR AVERAGE (deg f),'TEMPERATURE_y, AIR MINIMUM (deg f),'TEMPERATURE, AIR MAXIMUM (deg f),rain
243,2007,1,31,0,50,0,44,0,59,0.44
244,2007,2,1,0,50,0,44,0,59,1.53
245,2007,2,2,0,52,0,42,0,64,1.53
246,2007,2,3,0,58,0,45,0,75,1.53
247,2007,2,4,0,70,0,53,0,86,1.53
248,2007,2,5,0,71,0,55,0,88,1.53
249,2007,2,6,0,62,0,46,0,78,1.53
250,2007,2,7,0,52,0,41,0,71,1.53
251,2007,2,8,0,54,0,44,0,70,1.53
252,2007,2,9,0,57,0,48,0,71,1.53
253,2007,2,10,0,57,0,48,0,71,1.53
254,2007,2,11,0,54,0,48,0,65,1.53
255,2007,2,12,0,53,0,48,0,63,1.53
256,2007,2,13,0,53,0,46,0,62,1.53
257,2007,2,14,0,54,0,45,0,66,1.53
258,2007,2,15,0,56,0,44,0,70,1.53
259,2007,2,16,0,67,0,52,0,83,1.53
260,2007,2,17,0,74,0,61,0,87,1.53
261,2007,2,18,0,62,0,52,0,72,1.53
262,2007,2,19,0,52,0,45,0,62,1.53
263,2007,2,20,0,53,0,44,0,64,1.53
264,2007,2,21,0,55,0,45,0,67,1.53
265,2007,2,22,0,51,0,46,0,59,1.53
266,2007,2,23,0,49,0,41,0,59,1.53
267,2007,2,24,0,52,0,40,0,66,1.53
268,2007,2,25,0,51,0,42,0,60,1.53
269,2007,2,26,0,52,0,48,0,59,1.53
270,2007,2,27,0,50,0,41,0,58,1.53
271,2007,2,28,0,47,0,40,0,57,1.53
272,2007,3,1,0,48,0,38,0,60,0.29
273,2007,3,2,0,55,0,42,0,71,0.29
274,2007,3,3,0,64,0,56,0,76,0.29
275,2007,3,4,0,68,0,59,0,81,0.29
276,2007,3,5,0,68,0,59,0,83,0.29
277,2007,3,6,0,70,0,60,0,87,0.29
278,2007,3,7,0,62,0,51,0,80,0.29
279,2007,3,8,0,57,0,47,0,71,0.29
280,2007,3,9,0,55,0,46,0,70,0.29
281,2007,3,10,0,56,0,41,0,74,0.29
282,2007,3,11,0,74,0,58,0,94,0.29
283,2007,3,12,0,78,0,65,0,91,0.29
284,2007,3,13,0,67,0,51,0,83,0.29
285,2007,3,14,0,56,0,47,0,72,0.29
286,2007,3,15,0,59,0,47,0,76,0.29
287,2007,3,16,0,60,0,46,0,82,0.29
288,2007,3,17,0,57,0,48,0,74,0.29
289,2007,3,18,0,55,0,49,0,65,0.29
290,2007,3,19,0,57,0,52,0,68,0.29
291,2007,3,20,0,54,0,50,0,61,0.29
292,2007,3,21,0,52,0,46,0,59,0.29
293,2007,3,22,0,58,0,44,0,76,0.29
294,2007,3,23,0,59,0,51,0,70,0.29
295,2007,3,24,0,59,0,51,0,71,0.29
296,2007,3,25,0,59,0,50,0,74,0.29
297,2007,3,26,0,56,0,51,0,66,0.29
298,2007,3,27,0,52,0,46,0,57,0.29
299,2007,3,28,0,54,0,41,0,65,0.29
300,2007,3,29,0,61,0,46,0,76,0.29
301,2007,3,30,0,63,0,51,0,76,0.29
302,2007,3,31,0,63,0,50,0,78,0.29
303,2007,4,1,0,59,0,42,0,76,0.8
304,2007,4,2,0,56,0,45,0,74,0.8
305,2007,4,3,0,59,0,50,0,72,0.8
306,2007,4,4,0,59,0,50,0,75,0.8
307,2007,4,5,0,58,0,52,0,74,0.8
308,2007,4,6,0,58,0,53,0,67,0.8
309,2007,4,7,0,56,0,52,0,61,0.8
310,2007,4,8,0,58,0,53,0,65,0.8
311,2007,4,9,0,59,0,50,0,69,0.8
312,2007,4,10,0,60,0,48,0,74,0.8
313,2007,4,11,0,58,0,48,0,70,0.8
314,2007,4,12,0,56,0,48,0,66,0.8
315,2007,4,13,0,61,0,48,0,76,0.8
316,2007,4,14,0,59,0,49,0,75,0.8
317,2007,4,15,0,53,0,47,0,62,0.8
318,2007,4,16,0,55,0,46,0,66,0.8
319,2007,4,17,0,56,0,47,0,67,0.8
320,2007,4,18,0,56,0,47,0,67,0.8
321,2007,4,19,0,57,0,44,0,70,0.8
322,2007,4,20,0,49,0,45,0,53,0.8
323,2007,4,21,0,52,0,43,0,63,0.8
324,2007,4,22,0,54,0,45,0,64,0.8
325,2007,4,23,0,56,0,48,0,67,0.8
326,2007,4,24,0,62,0,49,0,77,0.8
327,2007,4,25,0,64,0,50,0,80,0.8
328,2007,4,26,0,60,0,50,0,70,0.8
329,2007,4,27,0,64,0,51,0,79,0.8
330,2007,4,28,0,63,0,53,0,82,0.8
331,2007,4,29,0,61,0,54,0,74,0.8
332,2007,4,30,0,61,0,54,0,79,0.8
333,2007,9,1,0,86,0,70,0,103,0.32
352,2007,9,20,0,61,0,52,0,71,0.32
353,2007,9,21,0,63,0,51,0,76,0.32
354,2007,9,22,0,60,0,55,0,69,0.32
355,2007,9,23,0,62,0,54,0,72,0.32
356,2007,9,24,0,65,0,53,0,82,0.32
357,2007,9,25,0,66,0,55,0,79,0.32
358,2007,9,26,0,72,0,59,0,89,0.32
359,2007,9,27,0,68,0,59,0,85,0.32
360,2007,9,28,0,62,0,57,0,70,0.32
361,2007,9,29,0,64,0,57,0,75,0.32
362,2007,9,30,0,70,0,55,0,90,0.32
363,2007,10,1,0,69,0,57,0,85,0.22
364,2007,10,2,0,71,0,56,0,87,0.22
365,2007,10,3,0,71,0,58,0,84,0.22
366,2007,10,4,0,64,0,55,0,77,0.22
367,2007,10,5,0,60,0,57,0,67,0.22
377,2007,10,15,0,58,0,54,0,64,0.22
378,2007,10,16,0,59,0,53,0,69,0.22
379,2007,10,17,0,60,0,53,0,72,0.22
380,2007,10,18,0,65,0,51,0,82,0.22
381,2007,10,19,0,76,0,60,0,92,0.22
382,2007,10,20,0,64,0,55,0,77,0.22
383,2007,10,21,0,71,0,55,0,82,0.22
384,2007,10,22,0,78,0,72,0,87,0.22
391,2007,10,29,0,68,0,58,0,79,0.22
392,2007,10,30,0,60,0,53,0,70,0.22
393,2007,10,31,0,60,0,50,0,78,0.22
394,2007,12,1,0,50,0,43,0,57,1.29
395,2007,12,2,0,52,0,42,0,63,1.29
396,2007,12,3,0,62,0,50,0,77,1.29
397,2007,12,4,0,67,0,56,0,78,1.29
398,2007,12,5,0,65,0,53,0,79,1.29
399,2007,12,6,0,55,0,48,0,60,1.29
400,2007,12,7,0,52,0,46,0,56,1.29
401,2007,12,8,0,48,0,43,0,59,1.29
402,2007,12,9,0,52,0,42,0,60,1.29
403,2007,12,10,0,52,0,44,0,64,1.29
404,2007,12,11,0,52,0,44,0,61,1.29
405,2007,12,12,0,54,0,45,0,66,1.29
406,2007,12,13,0,52,0,44,0,63,1.29
407,2007,12,14,0,52,0,42,0,64,1.29
408,2007,12,15,0,56,0,47,0,69,1.29
409,2007,12,16,0,55,0,45,0,70,1.29
410,2007,12,17,0,51,0,43,0,62,1.29
411,2007,12,18,0,53,0,44,0,64,1.29
412,2007,12,19,0,53,0,49,0,58,1.29
413,2007,12,20,0,51,0,48,0,55,1.29
414,2007,12,21,0,54,0,45,0,64,1.29
415,2007,12,22,0,56,0,46,0,70,1.29
416,2007,12,23,0,65,0,54,0,78,1.29
417,2007,12,24,0,63,0,52,0,76,1.29
418,2007,12,25,0,59,0,49,0,67,1.29
419,2007,12,26,0,51,0,43,0,62,1.29
420,2007,12,27,0,49,0,41,0,59,1.29
421,2007,12,28,0,49,0,40,0,59,1.29
422,2007,12,29,0,49,0,44,0,57,1.29
423,2007,12,30,0,50,0,42,0,61,1.29
424,2007,12,31,0,60,0,46,0,79,1.29
425,2008,1,1,0,65,0,60,0,75,4.59
426,2008,1,2,0,64,0,55,0,75,4.59
427,2008,1,3,0,59,0,51,0,70,4.59
428,2008,1,4,0,55,0,48,0,60,4.59
429,2008,1,5,0,53,0,50,0,56,4.59
430,2008,1,6,0,51,0,46,0,56,4.59
431,2008,1,7,0,52,0,46,0,59,4.59
432,2008,1,8,0,51,0,44,0,60,4.59
433,2008,1,9,0,50,0,44,0,59,4.59
434,2008,1,10,0,52,0,44,0,64,4.59
435,2008,1,11,0,57,0,48,0,71,4.59
436,2008,1,12,0,62,0,52,0,75,4.59
437,2008,1,13,0,67,0,57,0,78,4.59
438,2008,1,14,0,64,0,55,0,78,4.59
439,2008,1,15,0,57,0,46,0,74,4.59
440,2008,1,16,0,53,0,42,0,67,4.59
441,2008,1,17,0,54,0,46,0,66,4.59
442,2008,1,18,0,53,0,46,0,64,4.59
443,2008,1,19,0,56,0,46,0,68,4.59
444,2008,1,20,0,51,0,44,0,63,4.59
445,2008,1,21,0,49,0,44,0,55,4.59
446,2008,1,22,0,51,0,44,0,61,4.59
447,2008,1,23,0,49,0,42,0,61,4.59
448,2008,1,24,0,47,0,42,0,52,4.59
449,2008,1,25,0,52,0,45,0,62,4.59
450,2008,1,26,0,58,0,46,0,69,4.59
451,2008,1,27,0,55,0,50,0,61,4.59
452,2008,1,28,0,50,0,45,0,54,4.59
453,2008,1,29,0,48,0,42,0,56,4.59
454,2008,1,30,0,50,0,44,0,60,4.59
455,2008,1,31,0,53,0,44,0,63,4.59
456,2008,2,1,0,48,0,41,0,56,2.15
457,2008,2,2,0,49,0,42,0,58,2.15
458,2008,2,3,0,48,0,45,0,53,2.15
459,2008,2,4,0,49,0,40,0,61,2.15
460,2008,2,5,0,51,0,42,0,60,2.15
461,2008,2,6,0,50,0,41,0,63,2.15
462,2008,2,7,0,56,0,44,0,72,2.15
463,2008,2,8,0,63,0,50,0,78,2.15
464,2008,2,9,0,68,0,59,0,81,2.15
465,2008,2,10,0,65,0,56,0,78,2.15
466,2008,2,11,0,64,0,51,0,78,2.15
467,2008,2,12,0,66,0,57,0,80,2.15
468,2008,2,13,0,54,0,47,0,64,2.15
469,2008,2,14,0,46,0,40,0,51,2.15
470,2008,2,15,0,55,0,44,0,68,2.15
471,2008,2,16,0,51,0,41,0,68,2.15
472,2008,2,17,0,51,0,43,0,64,2.15
473,2008,2,18,0,52,0,43,0,64,2.15
474,2008,2,19,0,52,0,49,0,61,2.15
475,2008,2,20,0,51,0,48,0,58,2.15
476,2008,2,21,0,52,0,46,0,61,2.15
477,2008,2,22,0,51,0,46,0,56,2.15
478,2008,2,23,0,51,0,41,0,63,2.15
479,2008,2,24,0,52,0,46,0,61,2.15
480,2008,2,25,0,57,0,45,0,67,2.15
481,2008,2,26,0,67,0,56,0,82,2.15
482,2008,2,27,0,67,0,56,0,80,2.15
483,2008,2,28,0,58,0,48,0,73,2.15
484,2008,2,29,0,52,0,48,0,64,2.15
485,2008,3,1,0,52,0,50,0,58,0.06
486,2008,3,2,0,58,0,44,0,70,0.06
487,2008,3,3,0,62,0,52,0,75,0.06
488,2008,3,4,0,57,0,46,0,70,0.06
489,2008,3,5,0,54,0,41,0,67,0.06
490,2008,3,6,0,59,0,48,0,73,0.06
491,2008,3,7,0,62,0,50,0,78,0.06
492,2008,3,8,0,59,0,49,0,71,0.06
493,2008,3,9,0,64,0,48,0,80,0.06
494,2008,3,10,0,67,0,58,0,79,0.06
495,2008,3,11,0,66,0,56,0,80,0.06
496,2008,3,12,0,62,0,54,0,76,0.06
497,2008,3,13,0,58,0,48,0,69,0.06
498,2008,3,14,0,56,0,47,0,66,0.06
499,2008,3,15,0,51,0,43,0,60,0.06
500,2008,3,16,0,49,0,39,0,63,0.06
501,2008,3,17,0,54,0,41,0,68,0.06
502,2008,3,18,0,57,0,44,0,72,0.06
503,2008,3,19,0,52,0,41,0,69,0.06
504,2008,3,20,0,55,0,45,0,69,0.06
505,2008,3,21,0,63,0,48,0,82,0.06
506,2008,3,22,0,69,0,55,0,85,0.06
507,2008,3,23,0,75,0,61,0,89,0.06
508,2008,3,24,0,69,0,55,0,85,0.06
509,2008,3,25,0,59,0,48,0,77,0.06
510,2008,3,26,0,57,0,44,0,73,0.06
511,2008,3,27,0,56,0,47,0,70,0.06
512,2008,3,28,0,56,0,47,0,67,0.06
513,2008,3,29,0,55,0,45,0,66,0.06
514,2008,3,30,0,52,0,43,0,61,0.06
515,2008,3,31,0,52,0,42,0,62,0.06
516,2008,4,1,0,51,0,43,0,64,0.04
517,2008,4,2,0,53,0,43,0,64,0.04
518,2008,4,3,0,55,0,48,0,64,0.04
519,2008,4,4,0,57,0,47,0,72,0.04
520,2008,4,5,0,55,0,51,0,63,0.04
521,2008,4,6,0,56,0,49,0,64,0.04
522,2008,4,7,0,56,0,48,0,67,0.04
523,2008,4,8,0,53,0,47,0,62,0.04
524,2008,4,9,0,54,0,46,0,65,0.04
525,2008,4,10,0,60,0,42,0,78,0.04
526,2008,4,11,0,72,0,55,0,88,0.04
527,2008,4,12,0,75,0,63,0,91,0.04
545,2008,4,30,0,57,0,53,0,65,0.04
546,2008,5,1,0,61,0,50,0,72,0.6
547,2008,5,2,0,68,0,52,0,85,0.6
548,2008,5,3,0,64,0,52,0,81,0.6
549,2008,5,4,0,59,0,52,0,70,0.6
550,2008,5,5,0,56,0,51,0,61,0.6
551,2008,5,6,0,56,0,53,0,65,0.6
552,2008,5,7,0,56,0,52,0,60,0.6
553,2008,5,8,0,58,0,51,0,69,0.6
554,2008,5,9,0,57,0,52,0,64,0.6
555,2008,5,10,0,61,0,52,0,73,0.6
556,2008,5,11,0,61,0,53,0,74,0.6
557,2008,5,12,0,55,0,51,0,57,0.6
558,2008,5,13,0,62,0,50,0,74,0.6
559,2008,5,14,0,67,0,51,0,82,0.6
560,2008,5,15,0,72,0,57,0,87,0.6
561,2008,5,16,0,78,0,56,0,99,0.6
562,2008,5,17,0,83,0,69,0,97,0.6
563,2008,5,18,0,81,0,67,0,95,0.6
564,2008,5,19,0,76,0,60,0,91,0.6
565,2008,5,20,0,63,0,58,0,76,0.6
566,2008,5,21,0,63,0,53,0,72,0.6
567,2008,5,22,0,56,0,50,0,65,0.6
568,2008,5,23,0,51,0,48,0,55,0.6
569,2008,5,24,0,54,0,46,0,65,0.6
570,2008,5,25,0,56,0,46,0,66,0.6
571,2008,5,26,0,56,0,48,0,64,0.6
572,2008,5,27,0,59,0,47,0,72,0.6
573,2008,5,28,0,60,0,48,0,72,0.6
574,2008,5,29,0,63,0,48,0,75,0.6
575,2008,5,30,0,64,0,52,0,78,0.6
576,2008,5,31,0,62,0,52,0,74,0.6
577,2008,10,1,0,85,0,72,0,100,0.01
578,2008,10,2,0,76,0,60,0,91,0.01
579,2008,10,3,0,66,0,57,0,78,0.01
580,2008,10,4,0,62,0,59,0,69,0.01
581,2008,10,5,0,63,0,54,0,75,0.01
582,2008,10,6,0,74,0,57,0,92,0.01
583,2008,10,7,0,83,0,69,0,98,0.01
584,2008,10,8,0,83,0,70,0,98,0.01
585,2008,10,9,0,71,0,62,0,85,0.01
586,2008,10,10,0,64,0,55,0,73,0.01
587,2008,10,11,0,58,0,50,0,70,0.01
588,2008,10,12,0,63,0,54,0,74,0.01
589,2008,10,13,0,68,0,60,0,77,0.01
590,2008,10,14,0,74,0,59,0,89,0.01
591,2008,10,15,0,79,0,69,0,91,0.01
592,2008,10,16,0,76,0,67,0,90,0.01
593,2008,10,17,0,77,0,64,0,95,0.01
594,2008,10,18,0,69,0,57,0,85,0.01
595,2008,10,19,0,62,0,53,0,80,0.01
596,2008,10,20,0,61,0,53,0,75,0.01
597,2008,10,21,0,67,0,56,0,87,0.01
598,2008,10,22,0,82,0,60,0,100,0.01
599,2008,10,23,0,80,0,68,0,93,0.01
600,2008,10,24,0,75,0,65,0,89,0.01
601,2008,10,25,0,74,0,59,0,92,0.01
602,2008,10,26,0,73,0,59,0,91,0.01
603,2008,10,27,0,78,0,65,0,97,0.01
604,2008,10,28,0,82,0,71,0,99,0.01
605,2008,10,29,0,75,0,61,0,92,0.01
606,2008,10,30,0,73,0,63,0,90,0.01
607,2008,10,31,0,73,0,59,0,88,0.01
608,2008,11,1,0,75,0,66,0,88,1.63
