,Year,Month,Day,'TEMPERATURE_x, AIR AVERAGE (deg f)','TEMPERATURE_y, AIR MINIMUM (deg f)','TEMPERATURE, AIR MAXIMUM (deg f)',Rain
173,2006,12,21,0,51,0,44,0,63,0.87
174,2006,12,22,0,53,0,44,0,60,0.87
175,2006,12,23,0,60,0,53,0,72,0.87
176,2006,12,24,0,64,0,57,0,73,0.87
177,2006,12,25,0,68,0,62,0,80,0.87
178,2006,12,26,0,64,0,57,0,76,0.87
179,2006,12,27,0,49,0,44,0,58,0.87
180,2006,12,28,0,52,0,43,0,57,0.87
181,2006,12,29,0,56,0,49,0,67,0.87
182,2006,12,30,0,56,0,50,0,66,0.87
183,2006,12,31,0,52,0,46,0,62,0.87
184,2007,1,1,0,56,0,44,0,63,0.05
185,2007,1,2,0,63,0,57,0,72,0.05
186,2007,1,3,0,62,0,50,0,73,0.05
187,2007,1,4,0,50,0,44,0,61,0.05
188,2007,1,5,0,47,0,42,0,52,0.05
189,2007,1,6,0,56,0,45,0,68,0.05
190,2007,1,7,0,65,0,58,0,71,0.05
191,2007,1,8,0,69,0,64,0,75,0.05
192,2007,1,9,0,70,0,61,0,85,0.05
193,2007,1,10,0,58,0,47,0,69,0.05
194,2007,1,11,0,48,0,42,0,56,0.05
195,2007,1,12,0,43,0,37,0,52,0.05
196,2007,1,13,0,38,0,34,0,44,0.05
197,2007,1,14,0,43,0,36,0,54,0.05
198,2007,1,15,0,45,0,39,0,51,0.05
199,2007,1,16,0,50,0,43,0,58,0.05
200,2007,1,17,0,46,0,41,0,57,0.05
201,2007,1,18,0,53,0,45,0,59,0.05
202,2007,1,19,0,55,0,48,0,65,0.05
203,2007,1,20,0,49,0,43,0,60,0.05
204,2007,1,21,0,49,0,43,0,55,0.05
205,2007,1,22,0,55,0,48,0,64,0.05
206,2007,1,23,0,59,0,53,0,70,0.05
207,2007,1,24,0,65,0,60,0,74,0.05
208,2007,1,25,0,65,0,58,0,77,0.05
209,2007,1,26,0,57,0,47,0,69,0.05
210,2007,1,27,0,50,0,44,0,60,0.05
211,2007,1,28,0,51,0,43,0,62,0.05
212,2007,1,29,0,53,0,46,0,66,0.05
213,2007,1,30,0,49,0,46,0,55,0.05
214,2007,1,31,0,47,0,43,0,55,0.05
215,2007,2,1,0,47,0,43,0,55,0.83
216,2007,2,2,0,53,0,43,0,65,0.83
217,2007,2,3,0,62,0,51,0,70,0.83
218,2007,2,4,0,73,0,63,0,82,0.83
219,2007,2,5,0,73,0,63,0,86,0.83
220,2007,2,6,0,67,0,57,0,78,0.83
221,2007,2,7,0,59,0,47,0,72,0.83
222,2007,2,8,0,56,0,51,0,68,0.83
223,2007,2,9,0,58,0,50,0,69,0.83
224,2007,2,10,0,58,0,50,0,72,0.83
225,2007,2,11,0,52,0,46,0,61,0.83
226,2007,2,12,0,50,0,46,0,60,0.83
227,2007,2,13,0,50,0,44,0,60,0.83
228,2007,2,14,0,56,0,46,0,67,0.83
229,2007,2,15,0,58,0,49,0,74,0.83
230,2007,2,16,0,70,0,57,0,80,0.83
231,2007,2,17,0,71,0,64,0,79,0.83
232,2007,2,18,0,61,0,48,0,72,0.83
233,2007,2,19,0,50,0,46,0,61,0.83
234,2007,2,20,0,51,0,45,0,61,0.83
235,2007,2,21,0,54,0,46,0,68,0.83
236,2007,2,22,0,47,0,43,0,54,0.83
237,2007,2,23,0,47,0,40,0,58,0.83
238,2007,2,24,0,52,0,43,0,68,0.83
239,2007,2,25,0,49,0,43,0,57,0.83
240,2007,2,26,0,49,0,45,0,59,0.83
241,2007,2,27,0,46,0,39,0,56,0.83
242,2007,2,28,0,46,0,36,0,58,0.83
243,2007,3,1,0,49,0,39,0,62,0.15
244,2007,3,2,0,54,0,44,0,63,0.15
245,2007,3,3,0,61,0,56,0,68,0.15
246,2007,3,4,0,65,0,57,0,78,0.15
247,2007,3,5,0,70,0,61,0,84,0.15
248,2007,3,6,0,72,0,64,0,88,0.15
249,2007,3,7,0,65,0,53,0,79,0.15
250,2007,3,8,0,60,0,50,0,74,0.15
251,2007,3,9,0,55,0,44,0,69,0.15
252,2007,3,10,0,65,0,50,0,76,0.15
253,2007,3,11,0,77,0,71,0,90,0.15
254,2007,3,12,0,81,0,72,0,94,0.15
255,2007,3,13,0,72,0,58,0,86,0.15
256,2007,3,14,0,59,0,46,0,76,0.15
257,2007,3,15,0,66,0,57,0,79,0.15
258,2007,3,16,0,72,0,62,0,85,0.15
259,2007,3,17,0,63,0,48,0,75,0.15
260,2007,3,18,0,52,0,45,0,63,0.15
261,2007,3,19,0,54,0,48,0,68,0.15
262,2007,3,20,0,51,0,48,0,57,0.15
263,2007,3,21,0,50,0,44,0,57,0.15
264,2007,3,22,0,61,0,47,0,76,0.15
265,2007,3,23,0,60,0,50,0,73,0.15
266,2007,3,24,0,56,0,48,0,73,0.15
267,2007,3,25,0,57,0,48,0,75,0.15
268,2007,3,26,0,53,0,47,0,68,0.15
269,2007,3,27,0,49,0,42,0,58,0.15
270,2007,3,28,0,54,0,42,0,67,0.15
271,2007,3,29,0,63,0,50,0,77,0.15
272,2007,3,30,0,65,0,57,0,77,0.15
273,2007,3,31,0,66,0,57,0,81,0.15
274,2007,4,1,0,65,0,57,0,78,0.55
275,2007,4,2,0,60,0,48,0,75,0.55
276,2007,4,3,0,58,0,46,0,74,0.55
277,2007,4,4,0,61,0,51,0,72,0.55
278,2007,4,5,0,59,0,51,0,73,0.55
279,2007,4,6,0,55,0,50,0,68,0.55
280,2007,4,7,0,52,0,50,0,58,0.55
281,2007,4,8,0,54,0,50,0,58,0.55
282,2007,4,9,0,57,0,50,0,71,0.55
283,2007,4,10,0,59,0,48,0,74,0.55
284,2007,4,11,0,57,0,48,0,71,0.55
285,2007,4,12,0,54,0,47,0,64,0.55
286,2007,4,13,0,64,0,51,0,79,0.55
287,2007,4,14,0,59,0,48,0,74,0.55
288,2007,4,15,0,50,0,45,0,59,0.55
289,2007,4,16,0,54,0,45,0,69,0.55
290,2007,4,17,0,55,0,46,0,69,0.55
291,2007,4,18,0,55,0,46,0,71,0.55
292,2007,4,19,0,57,0,45,0,73,0.55
293,2007,4,20,0,45,0,42,0,47,0.55
294,2007,4,21,0,50,0,42,0,61,0.55
295,2007,4,22,0,51,0,45,0,63,0.55
296,2007,4,23,0,55,0,46,0,68,0.55
297,2007,4,24,0,63,0,51,0,77,0.55
298,2007,4,25,0,67,0,56,0,80,0.55
299,2007,4,26,0,60,0,47,0,73,0.55
300,2007,4,27,0,72,0,57,0,84,0.55
301,2007,4,28,0,71,0,56,0,84,0.55
302,2007,4,29,0,60,0,51,0,77,0.55
303,2007,4,30,0,60,0,52,0,77,0.55
304,2007,5,1,0,58,0,51,0,74,0.02
305,2007,5,2,0,59,0,51,0,71,0.02
306,2007,5,3,0,57,0,47,0,69,0.02
307,2007,5,4,0,54,0,48,0,66,0.02
308,2007,5,5,0,59,0,47,0,72,0.02
309,2007,5,6,0,70,0,61,0,81,0.02
310,2007,5,7,0,77,0,68,0,88,0.02
311,2007,5,8,0,82,0,72,0,94,0.02
312,2007,5,9,0,77,0,67,0,90,0.02
313,2007,5,10,0,71,0,63,0,83,0.02
314,2007,5,11,0,65,0,49,0,81,0.02
315,2007,5,12,0,58,0,45,0,73,0.02
316,2007,5,13,0,60,0,48,0,75,0.02
317,2007,5,14,0,58,0,48,0,75,0.02
318,2007,5,15,0,57,0,48,0,72,0.02
319,2007,5,16,0,58,0,49,0,73,0.02
320,2007,5,17,0,60,0,51,0,75,0.02
321,2007,5,18,0,60,0,51,0,75,0.02
322,2007,5,19,0,60,0,51,0,76,0.02
323,2007,5,20,0,59,0,52,0,73,0.02
324,2007,5,21,0,53,0,51,0,57,0.02
325,2007,5,22,0,56,0,51,0,64,0.02
326,2007,5,23,0,60,0,52,0,78,0.02
327,2007,5,24,0,62,0,50,0,79,0.02
328,2007,5,25,0,62,0,52,0,79,0.02
329,2007,5,26,0,61,0,51,0,76,0.02
330,2007,5,27,0,61,0,50,0,75,0.02
331,2007,5,28,0,59,0,50,0,73,0.02
332,2007,5,29,0,59,0,51,0,76,0.02
333,2007,5,30,0,59,0,49,0,76,0.02
334,2007,5,31,0,59,0,49,0,76,0.02
335,2007,9,1,0,92,0,83,0,103,0.26
336,2007,9,2,0,94,0,85,0,105,0.26
337,2007,9,3,0,94,0,81,0,108,0.26
338,2007,9,4,0,81,0,63,0,98,0.26
339,2007,9,5,0,70,0,57,0,88,0.26
340,2007,9,6,0,64,0,54,0,80,0.26
341,2007,9,7,0,67,0,56,0,82,0.26
342,2007,9,8,0,68,0,57,0,84,0.26
343,2007,9,9,0,67,0,57,0,82,0.26
344,2007,9,10,0,75,0,62,0,90,0.26
345,2007,9,11,0,82,0,75,0,94,0.26
346,2007,9,12,0,82,0,74,0,94,0.26
347,2007,9,13,0,76,0,65,0,86,0.26
348,2007,9,14,0,71,0,62,0,87,0.26
349,2007,9,15,0,71,0,61,0,85,0.26
350,2007,9,16,0,67,0,55,0,81,0.26
351,2007,9,17,0,63,0,54,0,77,0.26
352,2007,9,18,0,63,0,54,0,78,0.26
353,2007,9,19,0,60,0,54,0,68,0.26
354,2007,9,20,0,58,0,51,0,72,0.26
355,2007,9,21,0,62,0,52,0,76,0.26
356,2007,9,22,0,57,0,53,0,65,0.26
357,2007,9,23,0,59,0,52,0,70,0.26
358,2007,9,24,0,64,0,52,0,80,0.26
359,2007,9,25,0,72,0,58,0,82,0.26
360,2007,9,26,0,78,0,68,0,89,0.26
361,2007,9,27,0,72,0,56,0,84,0.26
362,2007,9,28,0,57,0,53,0,63,0.26
363,2007,9,29,0,61,0,53,0,76,0.26
364,2007,9,30,0,76,0,67,0,87,0.26
365,2007,10,1,0,71,0,63,0,83,0.44
366,2007,10,2,0,75,0,64,0,91,0.44
367,2007,10,3,0,75,0,65,0,86,0.44
368,2007,10,4,0,65,0,55,0,78,0.44
369,2007,10,5,0,57,0,50,0,66,0.44
370,2007,10,6,0,61,0,49,0,74,0.44
371,2007,10,7,0,70,0,62,0,78,0.44
372,2007,10,8,0,74,0,66,0,87,0.44
373,2007,10,9,0,69,0,59,0,82,0.44
374,2007,10,10,0,61,0,51,0,76,0.44
375,2007,10,11,0,61,0,51,0,75,0.44
376,2007,10,12,0,59,0,51,0,72,0.44
377,2007,10,13,0,56,0,51,0,63,0.44
378,2007,10,14,0,61,0,53,0,73,0.44
379,2007,10,15,0,54,0,50,0,58,0.44
380,2007,10,16,0,56,0,51,0,68,0.44
381,2007,10,17,0,57,0,51,0,68,0.44
382,2007,10,18,0,67,0,50,0,81,0.44
383,2007,10,19,0,78,0,68,0,90,0.44
384,2007,10,20,0,66,0,59,0,75,0.44
385,2007,10,21,0,67,0,62,0,71,0.44
386,2007,10,22,0,71,0,63,0,78,0.44
387,2007,10,23,0,80,0,73,0,88,0.44
388,2007,10,24,0,84,0,78,0,93,0.44
389,2007,10,25,0,79,0,70,0,88,0.44
390,2007,10,26,0,73,0,66,0,84,0.44
391,2007,10,27,0,70,0,59,0,77,0.44
392,2007,10,28,0,78,0,70,0,90,0.44
393,2007,10,29,0,69,0,57,0,77,0.44
394,2007,10,30,0,60,0,52,0,72,0.44
395,2007,10,31,0,63,0,53,0,77,0.44
396,2007,12,1,0,47,0,43,0,52,0.62
397,2007,12,2,0,51,0,42,0,58,0.62
398,2007,12,3,0,69,0,53,0,80,0.62
399,2007,12,4,0,75,0,68,0,81,0.62
400,2007,12,5,0,69,0,56,0,76,0.62
401,2007,12,6,0,54,0,50,0,62,0.62
402,2007,12,7,0,48,0,44,0,51,0.62
403,2007,12,8,0,46,0,41,0,53,0.62
404,2007,12,9,0,48,0,42,0,53,0.62
405,2007,12,10,0,50,0,45,0,60,0.62
406,2007,12,11,0,49,0,44,0,54,0.62
407,2007,12,12,0,52,0,46,0,58,0.62
408,2007,12,13,0,53,0,46,0,62,0.62
409,2007,12,14,0,53,0,43,0,61,0.62
410,2007,12,15,0,57,0,51,0,66,0.62
411,2007,12,16,0,57,0,49,0,68,0.62
412,2007,12,17,0,50,0,44,0,60,0.62
413,2007,12,18,0,51,0,48,0,57,0.62
414,2007,12,19,0,51,0,48,0,56,0.62
415,2007,12,20,0,49,0,45,0,54,0.62
416,2007,12,21,0,49,0,43,0,54,0.62
417,2007,12,22,0,54,0,46,0,60,0.62
418,2007,12,23,0,65,0,55,0,72,0.62
419,2007,12,24,0,65,0,57,0,74,0.62
420,2007,12,25,0,53,0,48,0,58,0.62
421,2007,12,26,0,50,0,41,0,59,0.62
422,2007,12,27,0,44,0,40,0,49,0.62
423,2007,12,28,0,47,0,42,0,54,0.62
424,2007,12,29,0,46,0,43,0,50,0.62
425,2007,12,30,0,51,0,45,0,61,0.62
426,2007,12,31,0,58,0,52,0,66,0.62
427,2008,1,1,0,58,0,53,0,64,3.74
428,2008,1,2,0,63,0,57,0,74,3.74
429,2008,1,3,0,58,0,49,0,64,3.74
430,2008,1,4,0,51,0,48,0,55,3.74
431,2008,1,5,0,50,0,47,0,54,3.74
432,2008,1,6,0,47,0,42,0,51,3.74
433,2008,1,7,0,48,0,45,0,53,3.74
434,2008,1,8,0,49,0,44,0,56,3.74
435,2008,1,9,0,48,0,43,0,55,3.74
436,2008,1,10,0,53,0,46,0,61,3.74
437,2008,1,11,0,61,0,54,0,69,3.74
438,2008,1,12,0,65,0,60,0,74,3.74
439,2008,1,13,0,65,0,60,0,69,3.74
440,2008,1,14,0,64,0,59,0,69,3.74
441,2008,1,15,0,60,0,52,0,68,3.74
442,2008,1,16,0,53,0,46,0,60,3.74
443,2008,1,17,0,52,0,45,0,59,3.74
444,2008,1,18,0,53,0,50,0,59,3.74
445,2008,1,19,0,56,0,50,0,66,3.74
446,2008,1,20,0,52,0,45,0,60,3.74
447,2008,1,21,0,45,0,42,0,50,3.74
448,2008,1,22,0,47,0,42,0,54,3.74
449,2008,1,23,0,47,0,41,0,55,3.74
450,2008,1,24,0,43,0,38,0,48,3.74
451,2008,1,25,0,48,0,44,0,54,3.74
452,2008,1,26,0,56,0,46,0,66,3.74
453,2008,1,27,0,50,0,45,0,55,3.74
454,2008,1,28,0,46,0,43,0,51,3.74
455,2008,1,29,0,46,0,41,0,53,3.74
456,2008,1,30,0,47,0,41,0,58,3.74
457,2008,1,31,0,51,0,45,0,61,3.74
458,2008,2,1,0,46,0,42,0,51,1.3
459,2008,2,2,0,46,0,42,0,52,1.3
460,2008,2,3,0,45,0,42,0,50,1.3
461,2008,2,4,0,47,0,39,0,58,1.3
462,2008,2,5,0,48,0,42,0,59,1.3
463,2008,2,6,0,51,0,45,0,61,1.3
464,2008,2,7,0,58,0,48,0,70,1.3
465,2008,2,8,0,65,0,54,0,74,1.3
466,2008,2,9,0,69,0,66,0,79,1.3
467,2008,2,10,0,68,0,62,0,77,1.3
468,2008,2,11,0,68,0,60,0,76,1.3
469,2008,2,12,0,69,0,63,0,78,1.3
470,2008,2,13,0,55,0,46,0,67,1.3
471,2008,2,14,0,47,0,44,0,50,1.3
472,2008,2,15,0,53,0,47,0,63,1.3
473,2008,2,16,0,51,0,44,0,64,1.3
474,2008,2,17,0,50,0,42,0,62,1.3
475,2008,2,18,0,51,0,45,0,62,1.3
476,2008,2,19,0,48,0,46,0,53,1.3
477,2008,2,20,0,48,0,45,0,53,1.3
478,2008,2,21,0,48,0,44,0,57,1.3
479,2008,2,22,0,47,0,42,0,52,1.3
480,2008,2,23,0,49,0,41,0,60,1.3
481,2008,2,24,0,49,0,43,0,56,1.3
482,2008,2,25,0,56,0,45,0,65,1.3
483,2008,2,26,0,66,0,60,0,73,1.3
484,2008,2,27,0,67,0,61,0,77,1.3
485,2008,2,28,0,61,0,52,0,71,1.3
486,2008,2,29,0,51,0,45,0,61,1.3
487,2008,3,1,0,49,0,45,0,51,0.01
488,2008,3,2,0,55,0,44,0,63,0.01
489,2008,3,3,0,59,0,53,0,67,0.01
490,2008,3,4,0,59,0,49,0,69,0.01
491,2008,3,5,0,56,0,44,0,67,0.01
492,2008,3,6,0,60,0,55,0,68,0.01
493,2008,3,7,0,64,0,58,0,76,0.01
494,2008,3,8,0,60,0,53,0,70,0.01
495,2008,3,9,0,64,0,58,0,72,0.01
496,2008,3,10,0,68,0,61,0,78,0.01
497,2008,3,11,0,67,0,61,0,78,0.01
498,2008,3,12,0,65,0,57,0,76,0.01
499,2008,3,13,0,60,0,51,0,70,0.01
500,2008,3,14,0,54,0,48,0,65,0.01
501,2008,3,15,0,47,0,40,0,55,0.01
502,2008,3,16,0,49,0,39,0,62,0.01
503,2008,3,17,0,56,0,47,0,67,0.01
504,2008,3,18,0,59,0,50,0,72,0.01
505,2008,3,19,0,56,0,48,0,70,0.01
506,2008,3,20,0,54,0,44,0,67,0.01
507,2008,3,21,0,66,0,54,0,81,0.01
508,2008,3,22,0,72,0,63,0,84,0.01
509,2008,3,23,0,73,0,67,0,87,0.01
510,2008,3,24,0,73,0,64,0,85,0.01
511,2008,3,25,0,65,0,56,0,77,0.01
512,2008,3,26,0,61,0,51,0,73,0.01
513,2008,3,27,0,57,0,50,0,72,0.01
514,2008,3,28,0,56,0,48,0,68,0.01
515,2008,3,29,0,54,0,46,0,69,0.01
516,2008,3,30,0,49,0,42,0,58,0.01
517,2008,3,31,0,50,0,41,0,62,0.01
518,2008,4,1,0,50,0,43,0,62,0.03
519,2008,4,2,0,51,0,42,0,65,0.03
520,2008,4,3,0,53,0,48,0,63,0.03
521,2008,4,4,0,58,0,46,0,73,0.03
522,2008,4,5,0,53,0,48,0,64,0.03
523,2008,4,6,0,53,0,46,0,67,0.03
524,2008,4,7,0,54,0,46,0,68,0.03
525,2008,4,8,0,51,0,45,0,64,0.03
526,2008,4,9,0,52,0,43,0,64,0.03
527,2008,4,10,0,61,0,46,0,75,0.03
528,2008,4,11,0,72,0,64,0,84,0.03
529,2008,4,12,0,77,0,69,0,86,0.03
530,2008,4,13,0,81,0,72,0,95,0.03
531,2008,4,14,0,73,0,51,0,86,0.03
532,2008,4,15,0,55,0,47,0,69,0.03
533,2008,4,16,0,58,0,46,0,73,0.03
534,2008,4,17,0,70,0,62,0,83,0.03
535,2008,4,18,0,69,0,47,0,85,0.03
536,2008,4,19,0,51,0,45,0,60,0.03
537,2008,4,20,0,52,0,44,0,65,0.03
538,2008,4,21,0,55,0,43,0,68,0.03
539,2008,4,22,0,58,0,48,0,71,0.03
540,2008,4,23,0,54,0,46,0,68,0.03
541,2008,4,24,0,59,0,46,0,72,0.03
542,2008,4,25,0,75,0,62,0,88,0.03
543,2008,4,26,0,80,0,70,0,94,0.03
544,2008,4,27,0,81,0,73,0,93,0.03
545,2008,4,28,0,83,0,72,0,95,0.03
546,2008,4,29,0,67,0,51,0,79,0.03
547,2008,4,30,0,55,0,50,0,68,0.03
548,2008,5,1,0,60,0,48,0,76,0.29
549,2008,5,2,0,70,0,58,0,83,0.29
550,2008,5,3,0,65,0,49,0,80,0.29
551,2008,5,4,0,56,0,46,0,69,0.29
